Symbol,Company,Description,Sector,Industry,Weights
SAP,SAP SE,"SAP SE, together with its subsidiaries, provides enterprise application software products worldwide. The company operates through Applications, Technology & Services; Qualtrics; Business Network; and Sustainability segments. It offers SAP S/4HANA that offers software capabilities for finance, risk and project management, procurement, manufacturing, supply chain and asset management, and research and development; SAP SuccessFactors solutions for human resources, including HR and payroll, talent and employee experience management, and people and workforce analytics; spend management solutions that covers direct and indirect spend, travel and expense, and external workforce management. The company also provides SAP customer experience solutions; SAP Business Technology platform that enables customers and partners to build, integrate, and extend applications in a cloud-native way; and SAP Business Network that enables companies to collaborate with trading partners for supply chain visibility. In addition, it offers SAP Signavio help customers to scan their operations to understand and improve their business process landscape; Experience Management solutions; SAP's industry cloud solutions that provides modular solutions addressing industry-specific functions; and sustainability-related solutions. The company has a partnership Google Cloud to build the future of open data and AI for enterprises. SAP SE was founded in 1972 and is headquartered in Walldorf, Germany.",Technology,Software - Application,0.97%
HSBA,N/A,N/A,N/A,N/A,N/A
BHP,BHP Group Limited,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, the rest of Asia, North America, South America, and internationally. The company operates through Copper, Iron Ore, and Coal segments. It engages in the mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. The company is also involved in mining, smelting, and refining of nickel; and potash development activities. In addition, it provides towing, freight, marketing and trading, marketing support, finance, administrative, and other services. BHP Group Limited was founded in 1851 and is headquartered in Melbourne, Australia.",Basic Materials,Other Industrial Metals & Mining,0.96%
ULVR,N/A,N/A,N/A,N/A,N/A
6758,N/A,N/A,N/A,N/A,N/A
CBA,N/A,N/A,N/A,N/A,N/A
SIE,N/A,N/A,N/A,N/A,N/A
8306,N/A,N/A,N/A,N/A,N/A
1299,N/A,N/A,N/A,N/A,N/A
OR,Osisko Gold Royalties Ltd,"Osisko Gold Royalties Ltd acquires and manages precious metal and other royalties, streams, and other interests in Canada and internationally. It also owns options on offtake; royalty/stream financings; and exclusive rights to participate in future royalty/stream financings on various projects. The company's primary asset is a 5% net smelter return royalty on the Canadian Malartic mine located in Canada. In addition, it is involved in the exploration, evaluation, and development of mining projects. It primarily explores for precious metals, including gold, silver, diamond, and others. The company was founded in 2014 and is based in Montreal, Canada.",Basic Materials,Gold,0.68%
SAN,"Banco Santander, S.A.","Banco Santander, S.A. provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. The company operates through Retail Banking, Santander Corporate & Investment Banking, Wealth Management & Insurance, and PagoNxt segments. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking, treasury, risk hedging, foreign trade, and investment banking activities, as well as provides digital payment solutions. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain.",Financial Services,Banks - Diversified,0.67%
BP,BP p.l.c.,"BP p.l.c. provides carbon products and services. The company operates through Gas & Low Carbon Energy, Oil Production & Operations, and Customers & Products segments. It engages in the production of natural gas, and integrated gas and power; trading of gas; operation of onshore and offshore wind power, as well as hydrogen and carbon capture and storage facilities; trading and marketing of renewable and non-renewable power; and production of crude oil. In addition, the company involved in convenience and retail fuel, EV charging, Castrol lubricant, aviation, B2B, and midstream businesses; refining and oil trading; and bioenergy business. Further, it engages in power and storage, digital transformation, carbon management, and bio and low carbon related products, as well as energy and environmental commodities and mobility businesses. The company was founded in 1908 and is headquartered in London, the United Kingdom.",Energy,Oil & Gas Integrated,0.67%
ALV,"Autoliv, Inc.","Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden.",Consumer Cyclical,Auto Parts,0.63%
AI,"C3.ai, Inc.","C3.ai, Inc. operates as an enterprise artificial intelligence (AI) software company in North America, Europe, the Middle East, Africa, the Asia Pacific, and internationally. The company provides C3 AI platform, an application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; C3 AI Ex Machina for analysis-ready data; C3 AI CRM, an industry specific customer relationship management solution; and C3 Generative AI Product Suite that enables to locate, retrieve, and present information. It also offers C3 AI applications, including C3 AI Inventory Optimization, a solution to optimize raw material, in-process, and finished goods inventory levels; C3 AI Supply Network Risk, which identifies emerging inbound and outbound risks across the network; C3 AI Sustainability Suite, which helps to decrease greenhouse gas emission; C3 AI Production Schedule Optimization, a solution for scheduling production; C3 AI Financial Services Suite, which helps to minimize compliance risks; and C3 AI Energy Management solution. In addition, it offers integrated turnkey enterprise AI applications for oil and gas, chemicals, utilities, manufacturing, financial services, defense, intelligence, aerospace, healthcare, and telecommunications market. It has strategic partnerships with Baker Hughes in the areas of oil and gas market; Booz Allen to provide solutions to government, defense, and intelligence sectors; Raytheon; and AWS, Google, and Microsoft. The company was formerly known as C3 IoT, Inc. and changed its name to C3.ai, Inc. in June 2019. C3.ai, Inc. was incorporated in 2009 and is headquartered in Redwood City, California.",Technology,Software - Application,0.62%
SU,Suncor Energy Inc.,"Suncor Energy Inc. operates as an integrated energy company in Canada and internationally. It operates through Oil Sands; Exploration and Production; and Refining and Marketing segments. The Oil Sands segment explores, develops, and produces bitumen, synthetic crude oil, and related products. This segment also engages in syncrude oil sands mining and upgrading operations; and marketing, supply, transportation, and risk management of crude oil, natural gas, power, and byproducts. The Exploration and Production segment is involved in offshore operations in the East Coast of Canada. The Refining and Marketing segment refines crude oil and petrochemical products; and markets, transports, and manages refined and petrochemical products, and other purchased products through the retail and wholesale networks. This segment also involved in trading of crude oil, natural gas, and power. The company was formerly known as Suncor Inc. and changed its name to Suncor Energy Inc. in April 1997. Suncor Energy Inc. was founded in 1917 and is headquartered in Calgary, Canada.",Energy,Oil & Gas Integrated,0.61%
AIR,AAR Corp.,"AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide. It operates through Aviation Services and Expeditionary Services segments. The Aviation Services segment engages in lease and sale of new, overhauled and repaired engine, and airframe parts and components, as well as aircrafts; and offers customized flight hour component inventory and repair, warranty claim management, and outsourcing programs for engine and airframe parts and components. This segment also provides fleet management and operations of customer-owned aircraft for the U.S. Department of State; customized performance-based supply chain logistics programs, which includes material planning, sourcing, logistics, information and program management, airframe and maintenance planning, and component repair, and overhaul services for U.S. Department of Defense and foreign governments. Further, it offers airframe inspection, maintenance, repair and overhaul, painting services, line maintenance, modifications, structural repairs, avionics service and installation, exterior and interior refurbishment, and engineering services and support; and repair and overhaul components including landing gears, wheels, and brakes for commercial and military aircraft; and operates six airframe maintenance facilities and one landing gear overhaul facility. The Expeditionary Services segment designs, manufactures, and repairs transportation pallets and containers and shelters for military and humanitarian tactical deployment activities, including armories, supply and parts storage, refrigeration systems, tactical operation centers, briefing rooms, laundry and kitchen facilities, water treatment, and sleeping quarters, as well as engages in provision of engineering, design, and system integration services for specialized command and control systems. AAR Corp. was founded in 1951 and is headquartered in Wood Dale, Illinois.",Industrials,Aerospace & Defense,0.56%
DTE,DTE Energy Company,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.3 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and solar assets. This segment owns and operates approximately 697 distribution substations and approximately 451,900 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 21,000 miles of distribution mains; 1,352,000 service pipelines; and 1,316,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its DTE Vantage segment offers metallurgical and petroleum coke to steel and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is based in Detroit, Michigan.",Utilities,Utilities - Regulated Electric,0.53%
6861,N/A,N/A,N/A,N/A,N/A
DGE,N/A,N/A,N/A,N/A,N/A
CSL,Carlisle Companies Incorporated,"Carlisle Companies Incorporated operates as a manufacturer of engineered products in the United States, Europe, Asia, Mexico, the United Kingdom, and internationally. It operates through four segments: Carlisle Construction Materials, Carlisle Weatherproofing Technologies, Carlisle Interconnect Technologies, and Carlisle Fluid Technologies. The company produces single-ply roofing products, and warranted roof systems and accessories, including ethylene propylene diene monomer, thermoplastic polyolefin and polyvinyl chloride membrane, polyiso insulation, and engineered metal roofing and wall panel systems for commercial and residential buildings; and building envelope solutions, including high-performance waterproofing and moisture protection products, protective roofing underlayments, fully integrated liquid and sheet applied air/vapor barriers, sealants/primers and flashing systems, roof coatings and mastics, spray polyurethane foam and coating systems, block-molded expanded polystyrene insulation, engineered products, and premium rubber products. It also offers optical fiber for the commercial aerospace, military and defense electronics, medical device, industrial, and test and measurement markets; sensors, connectors, contacts, cable assemblies, complex harnesses, racks, trays, and installation kits, as well as engineering and certification services; and engineered liquid, powder, sealants and adhesives finishing equipment, and integrated system solutions for spraying, pumping, mixing, metering, and curing of coatings used in the automotive manufacture, general industrial, protective coating, wood, and specialty and automotive refinishing markets. The company sells its products under the Carlisle, Binks, DeVilbiss, Ransburg, BGK, MS Powder, Thermax, Tri-Star, LHi Technology, Providien, SynTec, Weatherbond, Hunter Panels, Resitrix, Hertalan, and Versico brands. Carlisle Companies Incorporated was founded in 1917 and is headquartered in Scottsdale, Arizona.",Industrials,Building Products & Equipment,0.51%
UBSG,N/A,N/A,N/A,N/A,N/A
RIO,Rio Tinto Group,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company operates through Iron Ore, Aluminium, Copper, and Minerals Segments. It offers aluminum, copper, iron ore, diamonds, gold, borates, titanium dioxide, salt, silver, molybdenum, and lithium. The company also owns and operates open pit and underground mines, refineries, smelters, and concentrator facilities, as well as power stations, research, and service facilities. Rio Tinto Group was founded in 1873 and is headquartered in London, the United Kingdom.",Basic Materials,Other Industrial Metals & Mining,0.48%
8035,N/A,N/A,N/A,N/A,N/A
GSK,GSK plc,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",Healthcare,Drug Manufacturers - General,0.46%
REL,N/A,N/A,N/A,N/A,N/A
ZURN,N/A,N/A,N/A,N/A,N/A
8058,N/A,N/A,N/A,N/A,N/A
BATS,N/A,N/A,N/A,N/A,N/A
RMS,N/A,N/A,N/A,N/A,N/A
IBE,N/A,N/A,N/A,N/A,N/A
4063,N/A,N/A,N/A,N/A,N/A
BNP,N/A,N/A,N/A,N/A,N/A
SAN,"Banco Santander, S.A.","Banco Santander, S.A. provides various retail and commercial banking products and services to individuals, small and medium-sized enterprises, and large companies worldwide. The company operates through Retail Banking, Santander Corporate & Investment Banking, Wealth Management & Insurance, and PagoNxt segments. It offers demand and time deposits, and current and savings accounts; mortgages, consumer finance, syndicated corporate loans, cash management, export and agency finance, trade and working capital solutions, and corporate finance; and insurance products. The company also provides cash, asset, and wealth management; and private banking services. In addition, it is involved in the corporate banking, treasury, risk hedging, foreign trade, and investment banking activities, as well as provides digital payment solutions. The company was formerly known as Banco Santander Central Hispano S.A. and changed its name to Banco Santander, S.A. in June 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain.",Financial Services,Banks - Diversified,0.67%
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc. operates as the bank holding company for Frost Bank that provides commercial and consumer banking services in Texas. It operates in two segments, Banking and Frost Wealth Advisors. The company offers commercial banking services to corporations and other business clients, including financing for industrial and commercial properties, interim construction related to industrial and commercial properties, equipment, inventories and accounts receivables, and acquisitions; and treasury management services, as well as originates commercial leasing services. It also provides consumer banking services, such as checking accounts, savings programs, automated-teller machines (ATMs), overdraft facilities, installment and real estate loans, first mortgage loans, home equity loans and lines of credit, drive-in and night deposit services, safe deposit facilities, and brokerage services. In addition, the company offers international banking services comprising deposits, loans, letters of credit, foreign collections, funds transmitting, and foreign exchange services. Further, it offers trust, investment, agency, and custodial services for individual and corporate clients; provides capital market services that include sales and trading, new issue underwriting, money market trading, advisory, and securities safekeeping and clearance; and supports international business activities. Additionally, the company offers insurance and securities brokerage services; and holds securities for investment purposes, as well as investment management services to Frost-managed mutual funds, institutions, and individuals. The company serves energy, manufacturing, services, construction, retail, telecommunications, healthcare, military, and transportation industries. Cullen/Frost Bankers, Inc. was founded in 1868 and is headquartered in San Antonio, Texas.",Financial Services,Banks - Regional,0.41%
ABI,N/A,N/A,N/A,N/A,N/A
8316,N/A,N/A,N/A,N/A,N/A
6501,N/A,N/A,N/A,N/A,N/A
GLEN,N/A,N/A,N/A,N/A,N/A
0NQM,N/A,N/A,N/A,N/A,N/A
ABBN,N/A,N/A,N/A,N/A,N/A
8031,N/A,N/A,N/A,N/A,N/A
NAB,N/A,N/A,N/A,N/A,N/A
8001,N/A,N/A,N/A,N/A,N/A
SAF,N/A,N/A,N/A,N/A,N/A
MUV2,N/A,N/A,N/A,N/A,N/A
EL,The Estée Lauder Companies Inc.,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. The company also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. It offers its products under the Estée Lauder, Clinique, Origins, M·A·C, Bobbi Brown Cosmetics, La Mer, Aveda, Jo Malone London, TOM FORD, Too Faced, Dr.Jart+, and The Ordinary brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and duty-free locations. The Estée Lauder Companies Inc. was founded in 1946 and is headquartered in New York, New York.",Consumer Defensive,Household & Personal Products,0.35%
7974,N/A,N/A,N/A,N/A,N/A
6098,N/A,N/A,N/A,N/A,N/A
7267,N/A,N/A,N/A,N/A,N/A
4568,N/A,N/A,N/A,N/A,N/A
CS,N/A,N/A,N/A,N/A,N/A
ENEL,N/A,N/A,N/A,N/A,N/A
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.","Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides retail banking, wholesale banking, and asset management services. It offers current accounts; and demand, savings, overnight, time, term, and subordinated deposits. The company also provides loan products; deals in securities; leasing, factoring, brokerage, and asset management services; and manages pension and investment funds. In addition, it offers credit cards; corporate and investment banking services; insurance products and services; and real estate services. The company provides its products through online and mobile channels. It operates in Spain, Mexico, South America, the United States, Turkey, Asia, and rest of Europe. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain.",Financial Services,Banks - Diversified,0.33%
RKT,"Rocket Companies, Inc.","Rocket Companies, Inc., a fintech holding company, provides mortgage lending, title and settlement services, and other financial technology services in the United States and Canada. It operates through two segments, Direct to Consumer and Partner Network. The company's solutions include Rocket Mortgage, a mortgage lender; Amrock that provides title insurance, property valuation, and settlement services; Rocket Homes, a home search platform and real estate agent referral network, which offers technology-enabled services to support the home buying and selling experience; Rocket Auto, a virtual marketplace where consumers can shop and compare vehicles of many makes and models from a wide network of dealers; and Rocket Loans, an online-based personal loans business. It also offers Core Digital Media, a digital, social, and display advertiser in the mortgage, insurance, and education sectors; Rocket Solar, a tech-driven, residential solar energy provider; Rocket Money, a personal finance app that helps clients manage every aspect of their financial lives; Lendesk, a software services company that provides a point of sale system for mortgage professionals and a loan origination system for private lenders; Rocket Central, a professional services organization that provides technology, data, marketing, communication and other services; Rock Connections, a sales and support platform specializing in contact center services; Rocket Innovation Studio that recruits and mentors top technology talent; and Edison Financial, a digital mortgage broker. In addition, the company originates, closes, sells, and services agency-conforming loans. Rocket Companies, Inc. was founded in 1985 and is headquartered in Detroit, Michigan. Rocket Companies, Inc. operates as a subsidiary of Rock Holdings Inc.",Financial Services,Mortgage Finance,0.33%
ANZ,N/A,N/A,N/A,N/A,N/A
MBG,N/A,N/A,N/A,N/A,N/A
9983,N/A,N/A,N/A,N/A,N/A
INGA,N/A,N/A,N/A,N/A,N/A
WBC,N/A,N/A,N/A,N/A,N/A
UCG,N/A,N/A,N/A,N/A,N/A
PRX,N/A,N/A,N/A,N/A,N/A
8766,N/A,N/A,N/A,N/A,N/A
CPG,Crescent Point Energy Corp.,"Crescent Point Energy Corp. explores, develops, and produces light and medium crude oil, natural gas liquids, and natural gas reserves in Western Canada and the United States. It's crude oil and natural gas properties, and related assets are located in the provinces of Saskatchewan, Alberta, British Columbia, and Manitoba; and the states of North Dakota and Montana. The company was incorporated in 1994 and is headquartered in Calgary, Canada.",Energy,Oil & Gas E&P,0.30%
6367,N/A,N/A,N/A,N/A,N/A
D05,N/A,N/A,N/A,N/A,N/A
9433,N/A,N/A,N/A,N/A,N/A
NG,NovaGold Resources Inc.,"NovaGold Resources Inc. explores for and develops gold mineral properties in the United States. Its principal asset is the Donlin Gold project consisting of 493 mining claims covering an area of approximately 29,008 hectares located in the Kuskokwim region of southwestern Alaska. The company was formerly known as NovaCan Mining Resources (1985) Limited and changed its name to NovaGold Resources Inc. in March 1987. NovaGold Resources Inc. was incorporated in 1984 and is based in Vancouver, Canada.",Basic Materials,Gold,0.29%
ISP,N/A,N/A,N/A,N/A,N/A
4502,N/A,N/A,N/A,N/A,N/A
LSEG,N/A,N/A,N/A,N/A,N/A
388,N/A,N/A,N/A,N/A,N/A
STLAM,N/A,N/A,N/A,N/A,N/A
RACE,Ferrari N.V.,"Ferrari N.V., through its subsidiaries, engages in design, engineering, production, and sale of luxury performance sports cars worldwide. The company offers range, special series, Icona, and supercars; limited edition supercars and one-off cars; and track cars. It also provides racing cars, and spare parts and engines, as well as after sales, repair, maintenance, and restoration services for cars; and licenses its Ferrari brand to various producers and retailers of luxury and lifestyle goods. In addition, the company operates Ferrari museums in Modena and Maranello; Il Cavallino restaurant in Maranello; and theme parks in Abu Dhabi and Spain. Further, it provides direct or indirect finance and leasing services to retail clients and dealers; manages racetracks; develops and sells a range of apparel and accessories; and operates franchised and owned Ferrari stores. The company also sells its products through a network of authorized dealers operating points of sale, as well as through its website. Ferrari N.V. was founded in 1947 and is headquartered in Maranello, Italy.",Consumer Cyclical,Auto Manufacturers,0.28%
BAYN,N/A,N/A,N/A,N/A,N/A
BAS,N/A,N/A,N/A,N/A,N/A
ITX,N/A,N/A,N/A,N/A,N/A
IFX,N/A,N/A,N/A,N/A,N/A
BA,The Boeing Company,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment develops, produces, and markets commercial jet aircraft for passenger and cargo requirements, as well as provides fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating leases, sales-type/finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was incorporated in 1916 and is based in Arlington, Virginia.",Industrials,Aerospace & Defense,0.27%
8411,N/A,N/A,N/A,N/A,N/A
9984,N/A,N/A,N/A,N/A,N/A
DHL,N/A,N/A,N/A,N/A,N/A
4661,N/A,N/A,N/A,N/A,N/A
