Symbol,Company,Description,Sector,Industry,Weights
OR,Osisko Gold Royalties Ltd,"Osisko Gold Royalties Ltd acquires and manages precious metal and other royalties, streams, and other interests in Canada and internationally. It also owns options on offtake; royalty/stream financings; and exclusive rights to participate in future royalty/stream financings on various projects. The company's primary asset is a 5% net smelter return royalty on the Canadian Malartic mine located in Canada. In addition, it is involved in the exploration, evaluation, and development of mining projects. It primarily explores for precious metals, including gold, silver, diamond, and others. The company was founded in 2014 and is based in Montreal, Canada.",Basic Materials,Gold,1.29%
NOVN,N/A,N/A,N/A,N/A,N/A
SU,Suncor Energy Inc.,"Suncor Energy Inc. operates as an integrated energy company in Canada and internationally. It operates through Oil Sands; Exploration and Production; and Refining and Marketing segments. The Oil Sands segment explores, develops, and produces bitumen, synthetic crude oil, and related products. This segment also engages in syncrude oil sands mining and upgrading operations; and marketing, supply, transportation, and risk management of crude oil, natural gas, power, and byproducts. The Exploration and Production segment is involved in offshore operations in the East Coast of Canada. The Refining and Marketing segment refines crude oil and petrochemical products; and markets, transports, and manages refined and petrochemical products, and other purchased products through the retail and wholesale networks. This segment also involved in trading of crude oil, natural gas, and power. The company was formerly known as Suncor Inc. and changed its name to Suncor Energy Inc. in April 1997. Suncor Energy Inc. was founded in 1917 and is headquartered in Calgary, Canada.",Energy,Oil & Gas Integrated,1.18%
BHP,BHP Group Limited,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, the rest of Asia, North America, South America, and internationally. The company operates through Copper, Iron Ore, and Coal segments. It engages in the mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. The company is also involved in mining, smelting, and refining of nickel; and potash development activities. In addition, it provides towing, freight, marketing and trading, marketing support, finance, administrative, and other services. BHP Group Limited was founded in 1851 and is headquartered in Melbourne, Australia.",Basic Materials,Other Industrial Metals & Mining,1.16%
REL,N/A,N/A,N/A,N/A,N/A
0NQM,N/A,N/A,N/A,N/A,N/A
STLAM,N/A,N/A,N/A,N/A,N/A
7203,N/A,N/A,N/A,N/A,N/A
III,"Information Services Group, Inc.","Information Services Group, Inc., together with its subsidiaries, operates as a technology research and advisory company in the Americas, Europe, and the Asia Pacific. The company offers digital transformation services, including automation, cloud, and data analytics; sourcing advisory; managed governance and risk; network carrier; technology strategy and operations design; change management; and market intelligence and technology research and analysis services. It supports private and public sector organizations to transform and optimize their operational environments. The company also provides ISG Digital, a client solution platform that helps clients developing technology, transformation, sourcing, and digital solutions; and ISG Enterprise, a client solution platform that helps clients manage change and optimize operations in areas comprising finance, human resource, and Procure2Pay. In addition, it offers ISG GovernX, a software platform, which provides insights from market and performance data, and automates the management of third-party supplier relationships that comprise contract and project lifecycles, and risk management. The company serves private sector clients operating in the manufacturing, banking and financial services, insurance, health sciences, energy and utilities, and consumer services industries; and public sector clients, including state and local governments, airport and transit authorities, and national and provincial government units. Information Services Group, Inc. was founded in 2006 and is based in Stamford, Connecticut.",Technology,Information Technology Services,1.03%
0XXT,N/A,N/A,N/A,N/A,N/A
SAP,SAP SE,"SAP SE, together with its subsidiaries, provides enterprise application software products worldwide. The company operates through Applications, Technology & Services; Qualtrics; Business Network; and Sustainability segments. It offers SAP S/4HANA that offers software capabilities for finance, risk and project management, procurement, manufacturing, supply chain and asset management, and research and development; SAP SuccessFactors solutions for human resources, including HR and payroll, talent and employee experience management, and people and workforce analytics; spend management solutions that covers direct and indirect spend, travel and expense, and external workforce management. The company also provides SAP customer experience solutions; SAP Business Technology platform that enables customers and partners to build, integrate, and extend applications in a cloud-native way; and SAP Business Network that enables companies to collaborate with trading partners for supply chain visibility. In addition, it offers SAP Signavio help customers to scan their operations to understand and improve their business process landscape; Experience Management solutions; SAP's industry cloud solutions that provides modular solutions addressing industry-specific functions; and sustainability-related solutions. The company has a partnership Google Cloud to build the future of open data and AI for enterprises. SAP SE was founded in 1972 and is headquartered in Walldorf, Germany.",Technology,Software - Application,0.99%
6758,N/A,N/A,N/A,N/A,N/A
VOLVB,N/A,N/A,N/A,N/A,N/A
IBE,N/A,N/A,N/A,N/A,N/A
4063,N/A,N/A,N/A,N/A,N/A
RIO,Rio Tinto Group,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company operates through Iron Ore, Aluminium, Copper, and Minerals Segments. It offers aluminum, copper, iron ore, diamonds, gold, borates, titanium dioxide, salt, silver, molybdenum, and lithium. The company also owns and operates open pit and underground mines, refineries, smelters, and concentrator facilities, as well as power stations, research, and service facilities. Rio Tinto Group was founded in 1873 and is headquartered in London, the United Kingdom.",Basic Materials,Other Industrial Metals & Mining,0.91%
8316,N/A,N/A,N/A,N/A,N/A
DGE,N/A,N/A,N/A,N/A,N/A
8035,N/A,N/A,N/A,N/A,N/A
8058,N/A,N/A,N/A,N/A,N/A
CAP,N/A,N/A,N/A,N/A,N/A
DTE,DTE Energy Company,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.3 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and solar assets. This segment owns and operates approximately 697 distribution substations and approximately 451,900 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 21,000 miles of distribution mains; 1,352,000 service pipelines; and 1,316,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its DTE Vantage segment offers metallurgical and petroleum coke to steel and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is based in Detroit, Michigan.",Utilities,Utilities - Regulated Electric,0.85%
6861,N/A,N/A,N/A,N/A,N/A
NDAFI,N/A,N/A,N/A,N/A,N/A
6501,N/A,N/A,N/A,N/A,N/A
SAF,N/A,N/A,N/A,N/A,N/A
RWE,N/A,N/A,N/A,N/A,N/A
IFX,N/A,N/A,N/A,N/A,N/A
8001,N/A,N/A,N/A,N/A,N/A
BNP,N/A,N/A,N/A,N/A,N/A
SIE,N/A,N/A,N/A,N/A,N/A
1299,N/A,N/A,N/A,N/A,N/A
AIR,AAR Corp.,"AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide. It operates through Aviation Services and Expeditionary Services segments. The Aviation Services segment engages in lease and sale of new, overhauled and repaired engine, and airframe parts and components, as well as aircrafts; and offers customized flight hour component inventory and repair, warranty claim management, and outsourcing programs for engine and airframe parts and components. This segment also provides fleet management and operations of customer-owned aircraft for the U.S. Department of State; customized performance-based supply chain logistics programs, which includes material planning, sourcing, logistics, information and program management, airframe and maintenance planning, and component repair, and overhaul services for U.S. Department of Defense and foreign governments. Further, it offers airframe inspection, maintenance, repair and overhaul, painting services, line maintenance, modifications, structural repairs, avionics service and installation, exterior and interior refurbishment, and engineering services and support; and repair and overhaul components including landing gears, wheels, and brakes for commercial and military aircraft; and operates six airframe maintenance facilities and one landing gear overhaul facility. The Expeditionary Services segment designs, manufactures, and repairs transportation pallets and containers and shelters for military and humanitarian tactical deployment activities, including armories, supply and parts storage, refrigeration systems, tactical operation centers, briefing rooms, laundry and kitchen facilities, water treatment, and sleeping quarters, as well as engages in provision of engineering, design, and system integration services for specialized command and control systems. AAR Corp. was founded in 1951 and is headquartered in Wood Dale, Illinois.",Industrials,Aerospace & Defense,0.73%
ENGI,N/A,N/A,N/A,N/A,N/A
GSK,GSK plc,"GSK plc, together with its subsidiaries, engages in the research, development and manufacture of vaccines and specialty medicines to prevent and treat disease in the United Kingdom, the United States, and internationally. It operates through four segments: Pharmaceuticals, Pharmaceuticals R&D, Vaccines, and Consumer Healthcare. The company offers pharmaceutical products comprising medicines in the therapeutic areas, such as infectious disease, HIV, immunology and respiratory, and oncology. The company was formerly known as GlaxoSmithKline plc and changed its name to GSK plc in May 2022. GSK plc was founded in 1715 and is based in Brentford, the United Kingdom.",Healthcare,Drug Manufacturers - General,0.71%
TTE,TotalEnergies SE,"TotalEnergies SE, a multi-energy company, produces and markets fuels, natural gas, and electricity in France, rest of Europe, North America, Africa, and internationally. It operates through Integrated Gas, Renewables & Power; Exploration & Production; Refining & Chemicals; and Marketing & Services segments. The Integrated Gas, Renewables & Power segment engages in integrated gas, including liquified natural gas (LNG), and low carbon electricity businesses; and upstream and midstream LNG activities. Its Exploration & Production segment offers carbon storage and nature-based solutions. The Refining & Chemicals segment provides refining, petrochemicals, and specialty chemicals; and supply and trading of oil, and marine shipping services. Its Marketing & Services segment engages in the supply and marketing of petroleum products. TotalEnergies SE was formerly known as TOTAL SE and changed its name to TotalEnergies SE in June 2021. The company was founded in 1924 and is headquartered in Courbevoie, France.",Energy,Oil & Gas Integrated,0.70%
LR,N/A,N/A,N/A,N/A,N/A
ZURN,N/A,N/A,N/A,N/A,N/A
SSE,N/A,N/A,N/A,N/A,N/A
8766,N/A,N/A,N/A,N/A,N/A
7741,N/A,N/A,N/A,N/A,N/A
MUV2,N/A,N/A,N/A,N/A,N/A
LONN,N/A,N/A,N/A,N/A,N/A
4568,N/A,N/A,N/A,N/A,N/A
9432,N/A,N/A,N/A,N/A,N/A
STAN,N/A,N/A,N/A,N/A,N/A
DHL,N/A,N/A,N/A,N/A,N/A
HSBA,N/A,N/A,N/A,N/A,N/A
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc. operates as the bank holding company for Frost Bank that provides commercial and consumer banking services in Texas. It operates in two segments, Banking and Frost Wealth Advisors. The company offers commercial banking services to corporations and other business clients, including financing for industrial and commercial properties, interim construction related to industrial and commercial properties, equipment, inventories and accounts receivables, and acquisitions; and treasury management services, as well as originates commercial leasing services. It also provides consumer banking services, such as checking accounts, savings programs, automated-teller machines (ATMs), overdraft facilities, installment and real estate loans, first mortgage loans, home equity loans and lines of credit, drive-in and night deposit services, safe deposit facilities, and brokerage services. In addition, the company offers international banking services comprising deposits, loans, letters of credit, foreign collections, funds transmitting, and foreign exchange services. Further, it offers trust, investment, agency, and custodial services for individual and corporate clients; provides capital market services that include sales and trading, new issue underwriting, money market trading, advisory, and securities safekeeping and clearance; and supports international business activities. Additionally, the company offers insurance and securities brokerage services; and holds securities for investment purposes, as well as investment management services to Frost-managed mutual funds, institutions, and individuals. The company serves energy, manufacturing, services, construction, retail, telecommunications, healthcare, military, and transportation industries. Cullen/Frost Bankers, Inc. was founded in 1868 and is headquartered in San Antonio, Texas.",Financial Services,Banks - Regional,0.60%
UCG,N/A,N/A,N/A,N/A,N/A
IHG,InterContinental Hotels Group PLC,"InterContinental Hotels Group PLC owns, manages, franchises, and leases hotels in the Americas, Europe, Asia, the Middle East, Africa, and Greater China. The company operates hotels under the Six Senses, Regent, InterContinental Hotels & Resorts, Vignette Collection, Kimpton Hotels & Restaurants, Hotel Indigo, voco, HUALUXE, Crowne Plaza, Iberostar Beachfront Resorts, EVEN, Holiday Inn Express, Holiday Inn, avid, Atwell Suites, Staybridge Suites, Holiday Inn Club Vacations, and Candlewood Suites brand names. It also provides IHG Rewards loyalty program. InterContinental Hotels Group PLC was founded in 1777 and is headquartered in Windsor, the United Kingdom.",Consumer Cyclical,Lodging,0.59%
D05,N/A,N/A,N/A,N/A,N/A
ITX,N/A,N/A,N/A,N/A,N/A
4543,N/A,N/A,N/A,N/A,N/A
7267,N/A,N/A,N/A,N/A,N/A
LLOY,N/A,N/A,N/A,N/A,N/A
ULVR,N/A,N/A,N/A,N/A,N/A
CSL,Carlisle Companies Incorporated,"Carlisle Companies Incorporated operates as a manufacturer of engineered products in the United States, Europe, Asia, Mexico, the United Kingdom, and internationally. It operates through four segments: Carlisle Construction Materials, Carlisle Weatherproofing Technologies, Carlisle Interconnect Technologies, and Carlisle Fluid Technologies. The company produces single-ply roofing products, and warranted roof systems and accessories, including ethylene propylene diene monomer, thermoplastic polyolefin and polyvinyl chloride membrane, polyiso insulation, and engineered metal roofing and wall panel systems for commercial and residential buildings; and building envelope solutions, including high-performance waterproofing and moisture protection products, protective roofing underlayments, fully integrated liquid and sheet applied air/vapor barriers, sealants/primers and flashing systems, roof coatings and mastics, spray polyurethane foam and coating systems, block-molded expanded polystyrene insulation, engineered products, and premium rubber products. It also offers optical fiber for the commercial aerospace, military and defense electronics, medical device, industrial, and test and measurement markets; sensors, connectors, contacts, cable assemblies, complex harnesses, racks, trays, and installation kits, as well as engineering and certification services; and engineered liquid, powder, sealants and adhesives finishing equipment, and integrated system solutions for spraying, pumping, mixing, metering, and curing of coatings used in the automotive manufacture, general industrial, protective coating, wood, and specialty and automotive refinishing markets. The company sells its products under the Carlisle, Binks, DeVilbiss, Ransburg, BGK, MS Powder, Thermax, Tri-Star, LHi Technology, Providien, SynTec, Weatherbond, Hunter Panels, Resitrix, Hertalan, and Versico brands. Carlisle Companies Incorporated was founded in 1917 and is headquartered in Scottsdale, Arizona.",Industrials,Building Products & Equipment,0.52%
6902,N/A,N/A,N/A,N/A,N/A
5108,N/A,N/A,N/A,N/A,N/A
TSCO,Tractor Supply Company,"Tractor Supply Company operates as a rural lifestyle retailer in the United States. The company offers a selection of merchandise, including equine, livestock, pet, and small animal products necessary for their health, care, growth, and containment; hardware, truck, towing, and tool products; seasonal products, such as heating products, lawn and garden items, power equipment, gifts, and toys; work/recreational clothing and footwear; and maintenance products for agricultural and rural use. It provides its products under the 4health, Producer's Pride, American Farmworks, Red Shed, Bit & Bridle, Redstone, Blue Mountain, Retriever, C.E. Schmidt, Ridgecut, Countyline, Royal Wing, Dumor, Strive, Groundwork, Traveller, Huskee, Treeline, JobSmart, TSC Tractor Supply Co, Paws & Claws, and Untamed brands. The company operates its retail stores under the Tractor Supply Company, Orscheln Farm and Home, and Petsense names; and operates websites under the TractorSupply.com and Petsense.com names. It sells its products to recreational farmers, ranchers, and others. The company was founded in 1938 and is based in Brentwood, Tennessee.",Consumer Cyclical,Specialty Retail,0.51%
6367,N/A,N/A,N/A,N/A,N/A
2802,N/A,N/A,N/A,N/A,N/A
KPN,N/A,N/A,N/A,N/A,N/A
CBA,N/A,N/A,N/A,N/A,N/A
SEBA,N/A,N/A,N/A,N/A,N/A
BKG,N/A,N/A,N/A,N/A,N/A
NN,NextNav Inc.,"NextNav Inc. provides next generation positioning, navigation, and timing (PNT) solutions in the United States. It offers Pinnacle, a dedicated vertical positioning network to cover entire metropolitan areas including devices equipped with a barometric pressure sensor with the highest quality wide-area altitude service, which is based on three primary components comprising an altitude station network, device software, and secure cloud services platform. The company also provides TerraPoiNT, an 3D PNT system, provides positioning, navigation and timing services provided by GPS through a land-based GPS satellite constellation including broadcast transmitter. It serves Wi-Fi, telecom, public safety, gaming and location apps, and critical infrastructure applications. The company was founded in 2007 and is headquartered in McLean, Virginia.",Technology,Software - Infrastructure,0.50%
2502,N/A,N/A,N/A,N/A,N/A
6981,N/A,N/A,N/A,N/A,N/A
BARC,N/A,N/A,N/A,N/A,N/A
9022,N/A,N/A,N/A,N/A,N/A
8801,N/A,N/A,N/A,N/A,N/A
WBC,N/A,N/A,N/A,N/A,N/A
1925,N/A,N/A,N/A,N/A,N/A
KRX,N/A,N/A,N/A,N/A,N/A
GLE,N/A,N/A,N/A,N/A,N/A
CARLB,N/A,N/A,N/A,N/A,N/A
GMG,N/A,N/A,N/A,N/A,N/A
SIKA,N/A,N/A,N/A,N/A,N/A
RKT,"Rocket Companies, Inc.","Rocket Companies, Inc., a fintech holding company, provides mortgage lending, title and settlement services, and other financial technology services in the United States and Canada. It operates through two segments, Direct to Consumer and Partner Network. The company's solutions include Rocket Mortgage, a mortgage lender; Amrock that provides title insurance, property valuation, and settlement services; Rocket Homes, a home search platform and real estate agent referral network, which offers technology-enabled services to support the home buying and selling experience; Rocket Auto, a virtual marketplace where consumers can shop and compare vehicles of many makes and models from a wide network of dealers; and Rocket Loans, an online-based personal loans business. It also offers Core Digital Media, a digital, social, and display advertiser in the mortgage, insurance, and education sectors; Rocket Solar, a tech-driven, residential solar energy provider; Rocket Money, a personal finance app that helps clients manage every aspect of their financial lives; Lendesk, a software services company that provides a point of sale system for mortgage professionals and a loan origination system for private lenders; Rocket Central, a professional services organization that provides technology, data, marketing, communication and other services; Rock Connections, a sales and support platform specializing in contact center services; Rocket Innovation Studio that recruits and mentors top technology talent; and Edison Financial, a digital mortgage broker. In addition, the company originates, closes, sells, and services agency-conforming loans. Rocket Companies, Inc. was founded in 1985 and is headquartered in Detroit, Michigan. Rocket Companies, Inc. operates as a subsidiary of Rock Holdings Inc.",Financial Services,Mortgage Finance,0.46%
0OQV,N/A,N/A,N/A,N/A,N/A
0EYG,N/A,N/A,N/A,N/A,N/A
WKL,N/A,N/A,N/A,N/A,N/A
7269,N/A,N/A,N/A,N/A,N/A
8795,N/A,N/A,N/A,N/A,N/A
8591,N/A,N/A,N/A,N/A,N/A
4324,N/A,N/A,N/A,N/A,N/A
388,N/A,N/A,N/A,N/A,N/A
RIO,Rio Tinto Group,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company operates through Iron Ore, Aluminium, Copper, and Minerals Segments. It offers aluminum, copper, iron ore, diamonds, gold, borates, titanium dioxide, salt, silver, molybdenum, and lithium. The company also owns and operates open pit and underground mines, refineries, smelters, and concentrator facilities, as well as power stations, research, and service facilities. Rio Tinto Group was founded in 1873 and is headquartered in London, the United Kingdom.",Basic Materials,Other Industrial Metals & Mining,0.91%
PRX,N/A,N/A,N/A,N/A,N/A
4768,N/A,N/A,N/A,N/A,N/A
SGSN,N/A,N/A,N/A,N/A,N/A
UBSG,N/A,N/A,N/A,N/A,N/A
8306,N/A,N/A,N/A,N/A,N/A
FBK,FB Financial Corporation,"FB Financial Corporation operates as a bank holding company for FirstBank that provides a suite of commercial and consumer banking services to businesses, professionals, and individuals. The company operates in segments, such as Banking and Mortgage. It offers checking, demand, money market, and savings accounts; deposit and lending products and services to corporate, commercial, and consumer customers; and time deposits and certificates of deposits, as well as residential mortgage loans. The company also provides owner-occupied and non-owner-occupied real estate commercial, residential real estate 1-4 family mortgage, multi-family residential, commercial and industrial, construction, land acquisition, residential lines of credit, and land development loans; and consumer and other loans, such as car, boat, and other recreational vehicle loans, as well as manufactured homes without real estate and personal lines of credit. In addition, the company offers mortgage banking services through its bank branch network and mortgage banking offices in the southeastern United States; direct-to-consumer internet delivery channel; and trust, insurance, and investment services, as well as online and mobile banking services. The company operates full-service bank branches and limited-service branches locations throughout Tennessee, Nashville, Chattanooga, Knoxville, Memphis, Jackson, Birmingham, Florence, Huntsville, Alabama, Bowling Green, and Kentucky; and mortgage offices throughout the southeastern United States. The company was formerly known as First South Bancorp, Inc. and changed its name to FB Financial Corporation in 2016. FB Financial Corporation was founded in 1906 and is headquartered in Nashville, Tennessee.",Financial Services,Banks - Regional,0.34%
