Description,,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon
"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide. The company offers Humira, a therapy administered as an injection for autoimmune, intestinal Behçet's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohn's disease; Rinvoq, a JAK inhibitor to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, and ulcerative colitis; Imbruvica for the treatment of adult patients with blood cancers; and Venclexta/Venclyxto to treat hematological malignancies. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; and Ubrelvy for the acute treatment of migraine with or without aura in adults; Qulipta for episodic migraine. In addition, the company offers Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure(IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Restasis, a calcineurin inhibitor immunosuppressant indicated to increase tear production; and eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus (HCV) genotype 1-6 infection and HCV genotype 1 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism. It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; I-Mab Biopharma; Genmab A/S; Janssen Biotech, Inc.; Genentech, Inc.; and California Institute for Biomedical Research (Calibr). The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",,AbbVie Inc,ABBV US,"2,928,225",396,0.17,1.42,419.50MLN,"56,730.96",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"Intuit Inc. provides financial management and compliance products and services for consumers, small businesses, self-employed, and accounting professionals in the United States, Canada, and internationally. The company operates in four segments: Small Business & Self-Employed, Consumer, Credit Karma, and ProTax. The Small Business & Self-Employed segment provides QuickBooks services, that includes financial and business management online services and desktop software, payroll solutions, time tracking, merchant payment processing solutions, and financing for small businesses; and Mailchimp services, such as e-commerce, marketing automation, and customer relationship management. This segment also offers QuickBooks online services and desktop software solutions comprising QuickBooks Online Advanced, a cloud-based solution; QuickBooks Enterprise, a hosted solution; and QuickBooks Self-Employed solution; payment-processing solutions, including credit and debit cards, Apple Pay, and ACH payment services; and financial supplies and financing for small businesses, as well as electronic filing of federal and state income tax returns. The Consumer segment provides TurboTax income tax preparation products and services. The Credit Karma segment offers consumers with a personal finance platform that provides personalized recommendations of home, auto, and personal loans, as well as credit cards and insurance products. The ProTax segment provides Lacerte, ProSeries, and ProFile desktop tax-preparation software products; and ProConnect Tax Online tax products, electronic tax filing service, and bank products and related services. It sells products and services through various sales and distribution channels, including multi-channel shop-and-buy experiences, websites and call centers, mobile application stores, and retail and other channels. The company was founded in 1983 and is headquartered in Mountain View, California.",,Intuit Inc,INTU US,"837,474",114,0.3,1.41,419.03MLN,"57,039.90",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--
"Public Service Enterprise Group Incorporated, through its subsidiaries, operates as an energy company primarily in Mid-Atlantic United States. The company operates through PSE&G and PSEG Power. The PSE&G segment transmits electricity; distributes electricity and gas to residential, commercial, and industrial customers, as well as invests in solar generation projects, and energy efficiency and related programs; and offers appliance services and repairs. As of December 31, 2022, it had electric transmission and distribution system of 25,000 circuit miles and 864,000 poles; 55 switching stations with an installed capacity of 39,653 megavolt-amperes (MVA), and 235 substations with an installed capacity of 9,735 MVA; four electric distribution headquarters and five electric sub-headquarters; and 18,000 miles of gas mains, 12 gas distribution headquarters, two sub-headquarters, and one meter shop, as well as 56 natural gas metering and regulating stations. Public Service Enterprise Group Incorporated was incorporated in 1985 and is based in Newark, New Jersey.",,Public Service Enterprise Group Inc,PEG US,"6,583,271",891,1.32,1.41,417.51MLN,"56,507.22",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--
"Comcast Corporation operates as a media and technology company worldwide. It operates through Residential Connectivity & Platforms, Business Services Connectivity, Media, Studios, and Theme Parks segments. The Residential Connectivity & Platforms segment provides residential broadband and wireless connectivity services, residential and business video services, advertising sales, and Sky channels. The Business Services Connectivity segment offers connectivity services for small business locations, which include broadband, voice, and wireless services, as well as solutions for medium-sized customers and larger enterprises; and small business connectivity services for international locations. The Media segment operates NBCUniversal's television and streaming business, including national and regional cable networks; the NBC and Telemundo broadcast networks; NBC and Telemundo owned local broadcast television stations; and Peacock, a direct-to-consumer streaming service. It also operates international networks comprising the Sky Sports channels, as well as other digital properties. The Studios segment operates NBCUniversal and Sky film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The company also owns the Philadelphia Flyers and the Wells Fargo Center arena in Philadelphia, Pennsylvania; and operates Xumo, a consolidated streaming platform. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",,Comcast Corp Class A,CMCSA US,"9,794,849","1,326",0.24,1.41,416.28MLN,"56,355",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--
"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",,Yum! Brands Inc,YUM US,"3,229,508",438,1.15,1.35,401.33MLN,"54,430.26",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--
"PepsiCo, Inc. manufactures, markets, distributes, and sells various beverages and convenient foods worldwide. The company operates through seven segments: Frito-Lay North America; Quaker Foods North America; PepsiCo Beverages North America; Latin America; Europe; Africa, Middle East and South Asia; and Asia Pacific, Australia and New Zealand and China Region. It provides dips, cheese-flavored snacks, and spreads, as well as corn, potato, and tortilla chips; cereals, rice, pasta, mixes and syrups, granola bars, grits, oatmeal, rice cakes, simply granola, and side dishes; beverage concentrates, fountain syrups, and finished goods; ready-to-drink tea, coffee, and juices; dairy products; and sparkling water makers and related products. The company offers its products primarily under the Lay's, Doritos, Cheetos, Gatorade, Pepsi-Cola, Mountain Dew, Quaker, Aquafina, Emperador, Diet Mountain Dew, Diet Pepsi, Gatorade Zero, Propel, Marias Gamesa, Ruffles, Sabritas, Saladitas, Tostitos, 7UP, Diet 7UP, H2oh!, Manzanita Sol, Mirinda, Pepsi Black, San Carlos, Toddy, Walkers, Chipsy, Kurkure, Sasko, Spekko, White Star, Smith's, Sting, SodaStream, Lubimy Sad, Pepsi, and other brands. It serves wholesale and other distributors, foodservice customers, grocery stores, drug stores, convenience stores, discount/dollar stores, mass merchandisers, membership stores, hard discounters, e-commerce retailers and authorized independent bottlers, and others through a network of direct-store-delivery, customer warehouse, and distributor networks, as well as directly to consumers through e-commerce platforms and retailers. The company was founded in 1898 and is based in Purchase, New York",,PepsiCo Inc,PEP US,"2,380,039",321,0.17,1.34,397.06MLN,"53,552.43",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, manufacturing, electronics, magnetic resonance imaging, energy production, medical, food, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania",,Air Products and Chemicals Inc,APD US,"1,359,595",183,0.61,1.33,393.77MLN,"53,000.46",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--
"Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products in the Latin America, North America, Asia, the Middle East, Africa, and Europe. It provides biscuits and baked snacks, including cookies, crackers, salted snacks, snack bars, and cakes and pastries; chocolates; and gums and candies, as well as various cheese and grocery, and powdered beverage products. The company's brand portfolio includes Oreo, Ritz, LU, CLIF Bar, and Tate's Bake Shop biscuits and baked snacks, as well as Cadbury Dairy Milk, Milka, and Toblerone chocolate. It serves supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, gasoline stations, drug stores, value stores, and other retail food outlets through direct store delivery, company-owned and satellite warehouses, third party distributors, and other facilities, as well as through independent sales offices and agents. The company was formerly known as Kraft Foods Inc. and changed its name to Mondelez International, Inc. in October 2012. Mondelez International, Inc. was incorporated in 2000 and is headquartered in Chicago, Illinois.",,Mondelez International Inc,MDLZ US,"5,790,224",783,0.43,1.33,393.56MLN,"53,220.51",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks, sparkling flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages; and other beverages. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Diet Coke, Cherry Coke, Fanta Orange, Fanta Zero Orange, Fanta Zero Sugar, Fanta Apple, Sprite, Sprite Zero Sugar, Simply Orange, Simply Apple, Simply Grapefruit, Fresca, Schweppes, Thums Up, Aquarius, Ayataka, BODYARMOR, Ciel, Costa, Dasani, dogadan, FUZE TEA, Georgia, glacéau smartwater, glacéau vitaminwater, Gold Peak, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, and Minute Maid Pulpy brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",,Coca-Cola Co/The,KO US,"6,757,268",915,0.16,1.3,385.77MLN,"52,237.35",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"The Fund seeks high current income with liquidity and stability of principal. The Fund invests exclusively in high-quality, short-term securities that are issued or guaranteed by the U.S. government or by U.S. government agencies and instrumentalities. The Fund is designed for temporary or medium-term cash investments, seasonal operating cash, automated cash sweeps, and the liquidity components of investment portfolios. The Fund aims to preserve capital, maintain liquidity, and produce a competitive yield.",,JPMorgan US Government Money Market Fund Class IM USD,MGMXX US,"384,575,248",12750000,0.15,1.3,384.58MLN,12750000,11/2/2023,United States,Sector Not Available,Sector Not Available,Equity,Open-End Fund,Mutual Fund,--,--,--
"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and wearables worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment offers Facebook, which enables people to share, discuss, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising consumer hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California.",,Meta Platforms Inc Class A,META US,"1,223,936",165,0.06,1.28,380.48MLN,"51,293.55",11/2/2023,United States,Communications,Media,Equity,Common Stock,Common Stock,--,--,--
"Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis (CF). It markets TRIKAFTA/KAFTRIO and SYMDEKO/SYMKEVI for people with CF with at least one F508del mutation for 6 years of age or older; ORKAMBI for CF homozygous F508del mutation for CF patients 2 year or older; and KALYDECO for the treatment of patients with 4 months or older who have CF with a mutation that is responsive to ivacaftor, and R117H mutation or one of certain gating mutations. The company's pipeline includes VX-522, a CF mRNA therapeutic designed to treat the underlying cause of CF, which is in Phase 1 clinical trial; VX-548, a non-opioid medicine for the treatment of acute and neuropathic pain which is in Phase 3 clinical trial; Exa-cel, for the treatment of sickle cell disease and transfusion-dependent beta thalassemia which is in Phase 2/3 clinical trial; and VX-864 for treatment of AAT deficiency, which is in Phase 2 clinical trial. In addition, it provides VX-147 for the treatment of APOL1-mediated focal segmental glomerulosclerosis and co-morbidities, such as hypertension which is in single Phase 2/3; VX- 880, treatment for Type 1 Diabetes which is in Phase 1/2 clinical trial; VX-970, which is in Phase 2 clinical trial for the treatment of cancer; and VX-803 and VX-984 for treatment of cancer in Phase 1 clinical trial. Further, it sell the products to specialty pharmacy and specialty distributors in the United States, as well as retail pharmacies or pharmacy chains, hospitals, and clinics. Additionally, the company has collaborations with CRISPR Therapeutics AG.; Moderna, Inc.; Entrada Therapeutics, Inc.; Affinia Therapeutics; Arbor Biotechnologies, Inc.; Kymera Therapeutics, Inc.; Mammoth Biosciences, Inc.; Obsidian Therapeutics, Inc.; Verve Therapeutics; Skyhawk Therapeutics; and Ribometrix, Inc. Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts.",,Vertex Pharmaceuticals Inc,VRTX US,"1,002,560",135,0.39,1.27,377.51MLN,"50,834.25",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. Its Aerospace segment offers auxiliary power units, propulsion engines, integrated avionics, environmental control and electric power systems, engine controls, flight safety, communications, navigation hardware, data and software applications, radar and surveillance systems, aircraft lighting, advanced systems and instruments, satellite and space components, and aircraft wheels and brakes; spare parts; repair, overhaul, and maintenance services; and thermal systems, as well as wireless connectivity and management services. The company's Honeywell Building Technologies segment provides software applications for building control and optimization; sensors, switches, control systems, and instruments for energy management; access control; video surveillance; fire products; and installation, maintenance, and upgrades of systems. Its Performance Materials and Technologies segment offers automation control, instrumentation, and software and related services; catalysts and adsorbents, equipment, and consulting; and materials to manufacture end products, such as bullet-resistant armor, nylon, computer chips, and pharmaceutical packaging, as well as provides materials based on hydrofluoro-olefin technology. The company's Safety and Productivity Solutions segment provides personal protection equipment, apparel, gear, and footwear; gas detection technology; cloud-based notification and emergency messaging; mobile devices and software; supply chain and warehouse automation equipment, and software solutions; custom-engineered sensors, switches, and controls; and data and asset management productivity software solutions. The company was founded in 1885 and is headquartered in Charlotte, North Carolina",,Honeywell International Inc,HON US,"1,994,069",270,0.3,1.25,371.75MLN,"50,336.10",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--
