Description,Unnamed: 1,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon,Cosine Similarity
"TJX Companies , Inc. , together subsidiaries , operates off-price apparel home fashions retailer United States , Canada , Europe , Australia . operates four segments : Marmaxx , HomeGoods , TJX Canada , TJX International . company sells family apparel , including footwear accessories ; home fashions , home basics , furniture , rugs , lighting products , giftware , soft home products , decorative accessories , tabletop , cookware , well expanded pet , gourmet food departments ; jewelry accessories ; merchandise . TJX Companies , Inc. incorporated 1962 headquartered Framingham , Massachusetts .",,TJX Cos Inc/The,TJX US,"470,735",63,0.04,0.14,42.33MLN,"5,664.96",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.23895101249217987
"Chevron Corporation , subsidiaries , engages integrated energy chemicals operations United States internationally . company operates two segments , Upstream Downstream . Upstream segment involved exploration , development , production , transportation crude oil natural gas ; liquefaction , transportation , regasification associated liquefied natural gas ; transportation crude oil pipelines ; processing , transportation , storage , marketing natural gas , well gas-to-liquids plant . Downstream segment refines crude oil petroleum products ; markets crude oil , refined products , lubricants ; manufactures markets renewable fuels ; transports crude oil refined products pipeline , marine vessel , motor equipment , rail car ; manufactures markets commodity petrochemicals , plastics industrial uses , fuel lubricant additives . company formerly known ChevronTexaco Corporation changed name Chevron Corporation 2005 . Chevron Corporation founded 1879 headquartered San Ramon , California .",,Chevron Corp,CVX US,"776,632",105,0.04,0.39,115.53MLN,"15,619.80",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--,0.23684945702552795
"Berkshire Hathaway Inc. , subsidiaries , engages insurance , freight rail transportation , utility businesses worldwide . provides property , casualty , life , accident , health insurance reinsurance ; operates railroad systems North America . company also generates , transmits , stores , distributes electricity natural gas , coal , wind , solar , hydroelectric , nuclear , geothermal sources ; operates natural gas distribution storage facilities , interstate pipelines , liquefied natural gas facilities , compressor meter stations ; holds interest coal mining assets . addition , company manufactures boxed chocolates confectionery products ; specialty chemicals , metal cutting tools , components aerospace power generation applications ; flooring products ; insulation , roofing , engineered products ; building engineered components ; paints coatings ; bricks masonry products , well offers manufactured site-built home construction , related lending financial services . , provides recreational vehicles , apparel footwear products , jewelry , custom picture framing products , well alkaline batteries ; castings , forgings , fasteners/fastener systems , aerostructures , precision components ; cobalt , nickel , titanium alloys . Additionally , company distributes televisions information ; franchises services quick service restaurants ; distributes electronic components ; offers logistics services , grocery foodservice distribution services , professional aviation training shared aircraft ownership programs . also retails automobiles ; furniture , bedding , accessories ; household appliances , electronics , computers ; jewelry , watches , crystal , china , stemware , flatware , gifts , collectibles ; kitchenware ; motorcycle clothing equipment . company incorporated 1998 headquartered Omaha , Nebraska .",,Berkshire Hathaway Inc CLASS B,BRK/B US,"601,973",81,0.05,0.71,210.10MLN,"28,270.62",11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--,0.23607119917869568
"Altria Group , Inc. , subsidiaries , manufactures sells smokeable oral tobacco products United States . company provides cigarettes primarily Marlboro brand ; cigars pipe tobacco principally Black & Mild brand ; moist smokeless tobacco products snus products Copenhagen , Skoal , Red Seal , Husky brands ; ! oral nicotine pouches . sells tobacco products primarily wholesalers , including distributors ; large retail organizations , chain stores . company founded 1822 headquartered Richmond , Virginia .",,Altria Group Inc,MO US,"1,021,364",138,0.06,0.14,41.54MLN,"5,612.46",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.23399628698825836
"Chipotle Mexican Grill , Inc. , together subsidiaries , owns operates Chipotle Mexican Grill restaurants . offers burritos , burrito bowls , quesadillas , tacos , salads . company founded 1993 headquartered Newport Beach , California",,Chipotle Mexican Grill Inc,CMG US,"164,079",21,0.6,1.13,333.96MLN,"42,742.77",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--,0.23380810022354126
"AutoZone , Inc. retails distributes automotive replacement parts accessories United States , Mexico , Brazil . company provides various products cars , sport utility vehicles , vans , light trucks , including new remanufactured automotive hard parts , maintenance items , accessories , non-automotive products . also offers A/C compressors , batteries accessories , bearings , belts hoses , calipers , chassis , clutches , CV axles , engines , fuel pumps , fuses , ignition lighting products , mufflers , radiators , starters alternators , thermostats , water pumps , well tire repairs . addition , company provides maintenance products , antifreeze windshield washer fluids ; brake drums , rotors , shoes , pads ; brake power steering fluids , oil fuel additives ; oil transmission fluids ; oil , cabin , air , fuel , transmission filters ; oxygen sensors ; paints accessories ; refrigerants accessories ; shock absorbers struts ; spark plugs wires ; windshield wipers . , offers air fresheners , cell phone accessories , drinks snacks , floor mats seat covers , interior exterior accessories , mirrors , performance products , protectants cleaners , sealants adhesives , steering wheel covers , tools , vehicle entertainment systems , wash wax products , well towing services . Additionally , company provides sales program offers commercial credit delivery parts products ; sells automotive diagnostic repair software ALLDATA brand alldata.com alldatadiy.com ; automotive hard parts , maintenance items , accessories , non-automotive products autozone.com . AutoZone , Inc. founded 1979 headquartered Memphis , Tennessee .",,AutoZone Inc,AZO US,"65,819",9,0.37,0.57,167.58MLN,"22,914.18",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.23376211524009705
"LyondellBasell Industries N.V. operates chemical company United States , Germany , Mexico , Italy , Poland , France , Japan , China , Netherlands , internationally . company operates six segments : Olefins PolyolefinsAmericas ; Olefins PolyolefinsEurope , Asia , International ; Intermediates Derivatives ; Advanced Polymer Solutions ; Refining ; Technology . produces markets olefins co-products , polyethylene , polypropylene ; propylene oxide derivatives ; oxyfuels related products ; intermediate chemicals , styrene monomer , acetyls , ethylene oxide , ethylene glycol . addition , company produce markets compounding solutions including polypropylene compounds , engineered plastics , masterbatches , engineered composites , colors powders , advanced polymers including catalloy polybutene-1 ; refines heavy , high-sulfur crude oil crude oils , well refined products , including gasoline distillates . , develops licenses chemical polyolefin process technologies ; manufactures sells polyolefin catalysts ; serves food packaging , home furnishings , automotive components , paints coatings applications . company incorporated 2009 headquartered Houston , Texas .",,LyondellBasell Industries NV,LYB US,"987,459",135,0.3,0.31,90.81MLN,"12,414.60",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--,0.23283527791500092
"Exxon Mobil Corporation engages exploration production crude oil natural gas United States internationally . operates Upstream , Energy Products , Chemical Products , Specialty Products segments . Upstream segment explores produces crude oil natural gas . Energy Products segment offers fuels , aromatics , catalysts , well licensing services . Chemical Products segment manufactures markets petrochemicals including olefins , polyolefins , intermediates . Specialty Products segment offers performance products , including lubricants , basestocks , waxes , synthetics , elastomers , resins . company involved manufacturing , trade , transport , sale crude oil , natural gas , petroleum products , petrochemicals , specialty products ; pursuit lower-emission business opportunities including carbon capture storage , hydrogen , lower-emission fuels . Exxon Mobil Corporation founded 1870 headquartered Spring , Texas .",,Exxon Mobil Corp,XOM US,"2,041,167",276,0.05,0.75,222.71MLN,"30,114.36",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--,0.231374129652977
"Coca-Cola Company , beverage company , manufactures , markets , sells various nonalcoholic beverages worldwide . company provides sparkling soft drinks , sparkling flavors ; water , sports , coffee , tea ; juice , value-added dairy , plant-based beverages ; beverages . also offers beverage concentrates syrups , well fountain syrups fountain retailers , restaurants convenience stores . company sells products Coca-Cola , Diet Coke/Coca-Cola Light , Coca-Cola Zero Sugar , Diet Coke , Cherry Coke , Fanta Orange , Fanta Zero Orange , Fanta Zero Sugar , Fanta Apple , Sprite , Sprite Zero Sugar , Simply Orange , Simply Apple , Simply Grapefruit , Fresca , Schweppes , Thums , Aquarius , Ayataka , BODYARMOR , Ciel , Costa , Dasani , dogadan , FUZE TEA , Georgia , glacéau smartwater , glacéau vitaminwater , Gold Peak , Ice Dew , LOHAS , Powerade , Topo Chico , AdeS , Del Valle , fairlife , innocent , Minute Maid , Minute Maid Pulpy brands . operates network independent bottling partners , distributors , wholesalers , retailers , well bottling distribution operators . company founded 1886 headquartered Atlanta , Georgia .",,Coca-Cola Co/The,KO US,"6,757,268",915,0.16,1.3,385.77MLN,"52,237.35",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.22970405220985413
"O'Reilly Automotive , Inc. , together subsidiaries , operates retailer supplier automotive aftermarket parts , tools , supplies , equipment , accessories United States Mexico . company provides new remanufactured automotive hard parts maintenance items , alternators , batteries , brake system components , belts , chassis parts , driveline parts , engine parts , fuel pumps , hoses , starters , temperature control , water pumps , antifreeze , appearance products , engine additives , filters , fluids , lighting products , oil wiper blades ; accessories , including floor mats , seat covers , truck accessories . also offers auto body paint related materials , automotive tools , professional service provider service equipment . addition , company provide enhanced services programs comprising used oil , oil filter , battery recycling ; battery , wiper , bulb replacement ; battery diagnostic testing ; electrical module testing ; check engine light code extraction ; loaner tool program ; drum rotor resurfacing ; custom hydraulic hoses ; professional paint shop mixing related materials . , offers do-it-yourself professional service domestic imported automobiles , vans , trucks . company founded 1957 headquartered Springfield , Missouri .",,O'Reilly Automotive Inc,ORLY US,"84,251",12,0.14,0.27,79.88MLN,"11,377.08",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.22746644914150238
"PepsiCo , Inc. manufactures , markets , distributes , sells various beverages convenient foods worldwide . company operates seven segments : Frito-Lay North America ; Quaker Foods North America ; PepsiCo Beverages North America ; Latin America ; Europe ; Africa , Middle East South Asia ; Asia Pacific , Australia New Zealand China Region . provides dips , cheese-flavored snacks , spreads , well corn , potato , tortilla chips ; cereals , rice , pasta , mixes syrups , granola bars , grits , oatmeal , rice cakes , simply granola , side dishes ; beverage concentrates , fountain syrups , finished goods ; ready-to-drink tea , coffee , juices ; dairy products ; sparkling water makers related products . company offers products primarily Lay 's , Doritos , Cheetos , Gatorade , Pepsi-Cola , Mountain Dew , Quaker , Aquafina , Emperador , Diet Mountain Dew , Diet Pepsi , Gatorade Zero , Propel , Marias Gamesa , Ruffles , Sabritas , Saladitas , Tostitos , 7UP , Diet 7UP , H2oh ! , Manzanita Sol , Mirinda , Pepsi Black , San Carlos , Toddy , Walkers , Chipsy , Kurkure , Sasko , Spekko , White Star , Smith 's , Sting , SodaStream , Lubimy Sad , Pepsi , brands . serves wholesale distributors , foodservice customers , grocery stores , drug stores , convenience stores , discount/dollar stores , mass merchandisers , membership stores , hard discounters , e-commerce retailers authorized independent bottlers , others network direct-store-delivery , customer warehouse , distributor networks , well directly consumers e-commerce platforms retailers . company founded 1898 based Purchase , New York",,PepsiCo Inc,PEP US,"2,380,039",321,0.17,1.34,397.06MLN,"53,552.43",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.2262202948331833
"CSX Corporation , together subsidiaries , provides rail-based freight transportation services . company offers rail services ; transportation intermodal containers trailers , well transportation services , rail-to-truck transfers bulk commodity operations . transports chemicals , agricultural food products , minerals , automotive , forest products , fertilizers , metals equipment ; coal , coke , iron ore electricity-generating power plants , steel manufacturers , industrial plants , well exports coal deep-water port facilities . company also offers intermodal transportation services network approximately 30 terminals transporting manufactured consumer goods containers ; drayage services , including pickup delivery intermodal shipments . serves automotive industry distribution centers storage locations , well connects non-rail served customers transferring products , plastics ethanol rail trucks . company operates approximately 20,000 route mile rail network , serves various population centers 26 states east Mississippi River , District Columbia , Canadian provinces Ontario Quebec , well owns leases approximately 3,600 locomotives . also serves production distribution facilities track connections . CSX Corporation incorporated 1978 headquartered Jacksonville , Florida .",,CSX Corp,CSX US,"5,863,415",795,0.3,0.6,178.19MLN,"24,160.05",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.22512386739253998
"Walmart Inc. engages operation retail , wholesale , units worldwide . company operates three segments : Walmart U.S. , Walmart International , Sam 's Club . operates supercenters , supermarkets , hypermarkets , warehouse clubs , cash carry stores , discount stores Walmart Walmart Neighborhood Market brands ; membership-only warehouse clubs ; ecommerce websites , walmart.com , walmart.com.mx , walmart.ca , flipkart.com , samsclub.com ; mobile commerce applications . company offers grocery consumables , including dry grocery , snacks , dairy , meat , produce , bakery deli , alcoholic nonalcoholic beverages , floral , candy , grocery items , well dry , chilled , frozen packaged foods ; health beauty aids , paper goods , laundry home care , baby care , pet supplies , consumable items . also involved operation gasoline stations ; provision tobacco ; health wellness products covering pharmacy , optical hearing services , over-the-counter drugs medical products . addition , company offers home improvement , outdoor living , gardening , furniture , apparel , jewelry , tools power equipment , housewares , toys , seasonal items , mattresses , tire battery centers ; consumer electronics accessories , software , video games , office supplies , appliances , third-party gift cards . , operates digital payment platforms ; offers financial services related products , including money transfers , bill payments , money orders , check cashing , prepaid access , co-branded credit cards , installment lending , earned wage access . company formerly known Wal-Mart Stores , Inc. changed name Walmart Inc. February 2018 . Walmart Inc. founded 1945 based Bentonville , Arkansas .",,Walmart Inc,WMT US,"1,586,449",216,0.06,0.89,262.59MLN,"35,752.32",11/2/2023,United States,Consumer Staples,Retail & Wholesale - Staples,Equity,Common Stock,Common Stock,--,--,--,0.22378219664096832
"Hershey Company , together subsidiaries , engages manufacture sale confectionery products pantry items United States internationally . company operates three segments : North America Confectionery , North America Salty Snacks , International . offers chocolate non-chocolate confectionery products ; gum mint refreshment products , including mints , chewing gums , bubble gums ; pantry items , baking ingredients , toppings , beverages , sundae syrups ; snack items comprising spreads , bars , snack bites , mixes , popcorn , pretzels . company provides products primarily Hershey 's , Reese 's , Kisses , Jolly Rancher , Almond Joy , Brookside , barkTHINS , Cadbury , Good & Plenty , Heath , Kit Kat , Payday , Rolo , Twizzlers , Whoppers , York , Ice Breakers , Breath Savers , Bubble Yum , Lily 's , SkinnyPop , Pirates Booty , Paqui , Dot 's Homestyle Pretzels , ONE Bar brands , well Pelon Pelo Rico , IO-IO , Sofit brands . markets sells products wholesale distributors , chain grocery stores , mass merchandisers , chain drug stores , vending companies , wholesale clubs , convenience stores , dollar stores , concessionaires , department stores . company founded 1894 headquartered Hershey , Pennsylvania .",,Hershey Co/The Common Stock,HSY US,"1,260,220",171,0.84,0.81,238.87MLN,"32,413.05",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.2220683991909027
"Textron Inc. operates aircraft , defense , industrial , finance businesses worldwide . operates six segments : Textron Aviation , Bell , Textron Systems , Industrial , Textron eAviation , Finance . Textron Aviation segment manufactures , sells , services business jets , turboprop piston engine aircraft , military trainer defense aircraft ; offers maintenance , inspection , repair services , well sells commercial parts . Bell segment supplies military commercial helicopters , tiltrotor aircrafts , related spare parts services . Textron Systems segment offers unmanned aircraft systems , electronic systems solutions , advanced marine crafts , piston aircraft engines , live military air-to-air air-to-ship training , weapons related components , armored specialty vehicles . Industrial segment offers blow-molded solutions , including conventional plastic fuel tanks pressurized fuel tanks hybrid vehicle applications , clear-vision systems , plastic tanks catalytic reduction systems , battery housing systems use electric vehicles primarily automobile original equipment manufacturers ( OEMs ) ; golf cars , off-road utility vehicles , recreational side-by-side all-terrain vehicles , snowmobiles , light transportation vehicles , aviation ground support equipment , professional turf-maintenance equipment , turf-care vehicles golf courses resorts , government agencies municipalities , consumers , outdoor enthusiasts , commercial industrial users . Textron eAviation segment manufactures sells light aircraft gliders electric combustion engines ; provides research development initiatives related sustainable aviation solutions . Finance segment offers financing services purchase new pre-owned aircraft Bell helicopters . company founded 1923 headquartered Providence , Rhode Island .",,Textron Inc,TXT US,"2,045,575",276,1.04,0.53,158.47MLN,"21,381.72",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.22110795974731445
