North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
Yes,HORIZONS ACTIVE ULTRA-SHORT,Toronto,HFR CN Equity,Horizons ETFs Management Canada Inc,Corporate,Canada,Fixed Income,N.A.,296.146,0.47,,,,7.217,7.241,1.133,-0.228,,
No,CI CANADIAN BANKS COVERED CA,Toronto,CIC CN Equity,CI Investments Inc/Canada,Financial Sector,Canada,Equity,N.A.,120.162,0.65,4.796,,,-5.719,27.326,-0.879,0.396,,
No,MACKENZIE CANADIAN SHORT TER,Toronto,QSB CN Equity,Mackenzie Investments ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,110.752,0.09,,-0.002,,3.769,-1.83,-1.005,-1.415,1.009,
Yes,HARVEST BRAND LEADERS PLUS I,Toronto,HBF/U CN Equity,Harvest Portfolios Group Inc/Canada,North American Region,North American Region,Equity,N.A.,459.746,0.96,2.482,-0.754,-0.06,7.122,26.452,-0.247,0.47,0.712,0.832
No,ISHARES S&P/TSX CAPPED ENERG,Toronto,XEG CN Equity,iShares ETFs/Canada,Energy,Canada,Equity,N.A.,1275.683,0.61,4.121,-0.099,-0.083,4.05,343.591,0.108,2.07,0.992,0.997
No,MACKENZIE INTERNATIONAL EQUI,Toronto,QDX CN Equity,Mackenzie Investments ETFs/Canada,International,International,Equity,N.A.,479.112,0.19,3.413,0.022,0.001,20.716,23.622,0.904,0.402,1.065,0.994
No,MACKENZIE CANADIAN AGGREGATE,Toronto,QBB CN Equity,Mackenzie Investments ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,621.091,0.08,,-0.008,,2.871,-11.288,-0.765,-1.151,0.971,
No,MACKENZIE US LARGE CAP EQUIT,Toronto,QUU CN Equity,Mackenzie Investments ETFs/Canada,US,United States,Equity,N.A.,1759.38,0.07,1.576,0.008,0.011,18.614,37.117,0.704,0.666,0.978,0.983
Yes,CI INVESTMENT GRADE BOND ETF,Toronto,FIG CN Equity,CI Investments Inc/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,184.626,,,,,2.795,-11.556,-0.854,-1.184,,
No,CI GALAXY BITCOIN ETF USD,Toronto,BTCX/U CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,416.305,0.83,,-0.005,,70.157,,1.518,,0.993,
Yes,CI CANADIAN REIT ETF,Toronto,RIT CN Equity,CI Investments Inc/Canada,Real Estate Sector,Canada,Equity,N.A.,351.548,0.97,4.374,,,2.919,13.401,-0.567,0.068,,
No,CI GALAXY BITCOIN ETF,Toronto,BTCX/B CN Equity,CI Investments Inc/Canada,Not Classified,Global,Alternative,N.A.,416.305,,,-0.041,,68.916,,1.574,,0.998,
Yes,MANULIFE SMART US DIV UNHEDG,Toronto,UDIV/B CN Equity,Manulife ETFs/Canada/Fund Parent,US,United States,Equity,N.A.,155.108,0.28,,-1.04,,-0.553,,-0.904,,0.674,
Yes,BMO LOW VOLATILITY US EQUITY,Toronto,ZLU CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,1144.576,0.33,3.087,,,-1.992,25.957,-0.95,0.631,,
Yes,IA CLARINGTON CORE PLUS BOND,Toronto,ICPB CN Equity,Industrial Alliance ETFs/Canada,Government,Canada,Fixed Income,N.A.,456.696,0.5,,,,4.618,-0.093,-0.318,-0.609,,
Yes,BMO US DIVIDEND ETF,Toronto,ZDY CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,331.996,0.33,3.058,,,3.63,36.208,-0.43,0.777,,
Yes,BROMPTON FLAHERTY & CRUMI ET,Toronto,BPRF CN Equity,Brompton Funds Ltd,Preferred,Global,Fixed Income,N.A.,109.885,0.96,,-0.071,-0.115,4.511,-5.115,-0.246,-0.511,0.828,0.657
No,DESJARDINS RI CANADA MULTIFA,Toronto,DRFC CN Equity,Desjardins ETFs/Canada,Broad Market,Canada,Equity,Environmentally Friendly,193.813,0.58,3.484,-0.234,-0.075,9.608,56.647,-0.006,0.98,1.039,0.987
Yes,BMO LOW VOLATILITY US EQUITY,Toronto,ZLU/U CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,1144.576,0.33,3.087,,,-1.421,20.686,-0.948,0.478,,
No,EVOLVE GLOBAL HEALTHCARE,Toronto,LIFE/U CN Equity,Evolve ETFs/Canada,Health Care,Global,Equity,N.A.,174.001,0.6,2.487,,,5.331,24.477,-0.091,0.415,,
No,BMO EQUAL WEIGHT US BANK HED,Toronto,ZUB CN Equity,BMO ETFs/Canada,Financial,United States,Equity,N.A.,315.74,0.38,4.594,-0.023,0.008,-23.624,0.879,-0.87,0.049,0.982,0.992
No,BMO S&P US MID CAP INDEX ETF,Toronto,ZMID CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,173.278,0.17,1.852,-0.025,-0.062,5.544,35.39,-0.25,0.491,0.954,0.906
No,BMO LONG PROVINCIAL BOND IND,Toronto,ZPL CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,172.979,0.28,,-0.075,-0.055,2.359,-25.159,-0.742,-1.063,0.953,0.973
Yes,BMO COVERED CALL UTILITIES E,Toronto,ZWU CN Equity,BMO ETFs/Canada,Utilities,North American Region,Equity,N.A.,1231.053,0.71,5.332,,,-4.028,8.821,-1.31,-0.008,,
No,BMO EQUAL WEIGHT REITS INDEX,Toronto,ZRE CN Equity,BMO ETFs/Canada,Real Estate,Canada,Equity,N.A.,390.561,0.61,6.323,-0.063,-0.055,-0.638,16.409,-0.767,0.11,1.005,0.99
Yes,BMO US DIVIDEND ETF,Toronto,ZDY/U CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,331.996,0.33,3.058,,,4.071,31.567,-0.441,0.577,,
No,ISHARES S&P/TSX CAPPED INFO,Toronto,XIT CN Equity,iShares ETFs/Canada,Technology,Canada,Equity,N.A.,409.359,0.61,0.355,-0.042,-0.02,43.529,20.321,1.075,0.184,0.991,0.998
No,BMO MID PROVINCIAL BOND INDE,Toronto,ZMP CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,210.244,0.28,,-0.026,-0.027,2.241,-11.177,-0.825,-1.025,0.982,1.006
No,BMO MID-TERM US IG CORPORATE,Toronto,ZIC/U CN Equity,BMO ETFs/Canada,Corporate,United States,Fixed Income,N.A.,2097.027,0.28,,0.048,-0.028,5.269,-13.32,-0.148,-0.882,0.966,0.957
No,BMO MID-TERM US IG CORPORATE,Toronto,ZIC CN Equity,BMO ETFs/Canada,Corporate,United States,Fixed Income,N.A.,2097.027,0.28,,0.042,-0.03,4.431,-9.761,-0.037,-0.891,0.901,0.953
No,BMO MID US IG CORP HG TO CAD,Toronto,ZMU CN Equity,BMO ETFs/Canada,Corporate,United States,Fixed Income,N.A.,2044.93,0.28,,-0.038,0,4.354,-14.423,-0.304,-0.946,1.113,1.042
No,BMO EMERGING MARKETS BOND HE,Toronto,ZEF CN Equity,BMO ETFs/Canada,Fixed Income Emerging Market,International,Fixed Income,N.A.,422.387,0.56,,0.043,0.075,10.441,-12.809,0.229,-0.975,0.969,0.863
No,BMO LONG FEDERAL BOND INDEX,Toronto,ZFL CN Equity,BMO ETFs/Canada,Government,Canada,Fixed Income,N.A.,2078.643,0.22,,0.002,-0.01,-0.911,-31.004,-0.769,-1.126,0.973,0.993
No,VANGUARD FTSE DEVELOPED ALL,Toronto,VEF CN Equity,Vanguard ETFs/Canada,International,International,Equity,N.A.,408.24,0.22,3.357,-0.07,-0.05,15.255,36.838,0.542,0.69,1.093,1.015
No,ISHARES S&P/TSX 60 INDEX ETF,Toronto,XIU CN Equity,iShares ETFs/Canada,Large-cap,Canada,Equity,N.A.,8054.833,0.18,3.576,-0.017,-0.013,5.489,37.56,-0.315,0.611,0.998,1
No,PURPOSE BITCOIN ETF,Toronto,BTCC CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,598.853,,,,,66.416,,1.428,,,
No,HORIZONS S&P 500 INDEX ETF,Toronto,HXS/U CN Equity,Horizons ETFs Management Canada Inc,US,United States,Equity,N.A.,1467.733,0.1,,-0.025,-0.022,18.777,34.365,0.39,0.538,0.973,0.975
No,PURPOSE BITCOIN ETF,Toronto,BTCC/U CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,598.853,,,,,68.085,,1.462,,,
Yes,PIMCO MONTHLY INCOME FUND,Toronto,PMIF/U CN Equity,Pimco ETFs/Canada/Fund Parent,Aggregate Bond,Global,Fixed Income,N.A.,1483.815,0.75,1.77,0.33,0.316,6.348,2.841,-0.125,-0.367,0.582,0.618
No,VANGUARD CANADIAN ST BD ETF,Toronto,VSB CN Equity,Vanguard ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,815.888,0.11,,0.001,-0.009,3.739,-2.074,-1.071,-1.391,0.97,1.017
No,TD US EQUITY INDEX ETF-USD,Toronto,TPU/U CN Equity,TD Asset Management ETFs/Canada,US,United States,Equity,N.A.,1230.811,,1.586,0.046,,13.329,,0.419,,0.891,
Yes,ML MULTIFAC DEV INT ETF-HDG,Toronto,MINT CN Equity,Manulife ETFs/Canada/Fund Parent,International,International,Equity,N.A.,416.509,0.62,,0.112,0.477,16.583,46.4,0.914,0.868,0.804,0.866
No,ISHARES CORE MSCI EAFE IMI I,Toronto,XEF CN Equity,iShares ETFs/Canada,International,International,Equity,N.A.,4651.068,0.22,3.455,0.013,0.011,20.043,21.186,0.806,0.347,1.035,0.991
No,ISHARES GOLD BULLION ETF,Toronto,CGL CN Equity,iShares ETFs/Canada,Precious Metals,"Global,Canada",Commodity,N.A.,688.27,0.55,,-0.248,-0.166,20.786,0.948,0.969,-0.047,0.985,0.864
No,BMO EQUAL WEIGHT OIL & GAS I,Toronto,ZEO CN Equity,BMO ETFs/Canada,Energy,Canada,Equity,N.A.,157.188,0.61,5.48,-0.054,-0.051,3.653,213.99,-0.001,1.908,1.002,0.997
No,ISHARES CORE MSCI EMERGING M,Toronto,XEC CN Equity,iShares ETFs/Canada,Emerging Markets,International,Equity,N.A.,961.834,0.27,2.226,-0.365,-0.303,13.123,-2.526,0.496,-0.236,1.386,1.203
No,ISHARES CORE S&P 500 INDEX E,Toronto,XUS CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,3511.725,0.1,1.634,0.049,-0.023,18.104,39.585,0.671,0.715,0.923,0.994
Yes,ML MULTIFAC CDN L CAP IN-ETF,Toronto,MCLC CN Equity,Manulife ETFs/Canada/Fund Parent,Large-cap,Canada,Equity,N.A.,234.55,0.45,3.362,-0.19,-0.157,6.748,49.153,-0.239,0.861,0.953,0.967
Yes,TD ACTIVE GLOBAL ENH DVD-USD,Toronto,TGED/U CN Equity,TD Asset Management ETFs/Canada,Global,Global,Equity,N.A.,226.442,,1.377,,,18.319,,1.06,,,
Yes,TD ACT US ENH DVD ETF-USD,Toronto,TUED/U CN Equity,TD Asset Management ETFs/Canada,US,United States,Equity,N.A.,240.113,,1.368,,,22.524,,1.227,,,
No,MACKENZIE EM MKT BND CAD-HDG,Toronto,QEBH CN Equity,Mackenzie Investments ETFs/Canada,Fixed Income Emerging Market,International,Fixed Income,N.A.,178.094,0.5,,0.016,-0.052,7.002,-13.613,0.073,-0.816,1.044,0.973
No,TD GLO TECH LEADERS-USD,Toronto,TEC/U CN Equity,TD Asset Management ETFs/Canada,Technology,Global,Equity,N.A.,1309.417,,0.678,0.175,,29.799,,1.025,,0.798,
Yes,ML MULTIFAC DEV INT ETF-UNHG,Toronto,MINT/B CN Equity,Manulife ETFs/Canada/Fund Parent,International,International,Equity,N.A.,416.509,0.57,,0.068,0.028,22.174,24.901,1.056,0.465,0.958,0.947
No,MACKENZIE EMERG MKT CUR BOND,Toronto,QEBL CN Equity,Mackenzie Investments ETFs/Canada,Government,International,Fixed Income,N.A.,254.428,0.49,,0.033,-0.04,14.085,-4.971,0.939,-0.502,1.068,0.969
No,BETAPRO NASDAQ-100 -2X DAILY,Toronto,HQU CN Equity,Horizons ETFs Management Canada Inc,US,United States,Equity,N.A.,193.141,1.47,,-1.414,-0.906,77.179,31.619,1.14,0.362,2.164,2.188
No,PURPOSE BITCOIN ETF,Toronto,BTCC/B CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,598.853,,,,,67.568,,1.532,,,
No,INVESCO NASDAQ 100 INDEX ETF,Toronto,QQC CN Equity,Invesco Canada ETFs/Canada,US,United States,Equity,N.A.,542.864,,0.87,0.043,,41.112,,1.438,,0.968,
No,ISHARES HIGH QUALITY CANADIA,Toronto,XQB CN Equity,iShares ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,225.461,0.13,,-0.013,-0.013,3.578,-10.622,-0.707,-1.183,0.997,0.988
No,FIDELITY US HIGH DIV IND ETF,Toronto,FCUD CN Equity,Fidelity ETFs/Canada,US,United States,Equity,N.A.,114.061,0.39,4.064,0.011,0.015,6.837,50.597,-0.215,0.958,0.998,1.013
No,FIDELITY CANADA HIGH DIV IND,Toronto,FCCD CN Equity,Fidelity ETFs/Canada,Broad Market,Canada,Equity,N.A.,116.027,0.39,5.477,-0.027,-0.049,-2.262,39.528,-0.894,0.6,1.001,1.005
No,BMO HIGH YIELD US CORP BD HE,Toronto,ZHY CN Equity,BMO ETFs/Canada,Corporate,United States,Fixed Income,N.A.,698.664,0.61,,-0.035,-0.041,7.649,0.165,-0.243,-0.285,0.819,1.022
Yes,IA CLARINGTON STRATEGIC INCO,Toronto,ISIF CN Equity,Industrial Alliance ETFs/Canada,Dynamic Allocation,Global,Mixed Allocation,N.A.,1773.867,0.7,2.935,,,-0.943,13.189,-0.297,0.515,,
Yes,NBI ACTIVE INTERNATIONAL EQ,Toronto,NINT CN Equity,Natcan Trust Co,International,International,Equity,N.A.,451.501,,2.46,,,18.382,,0.47,,,
No,BMO MSCI USA ESG LD IND-HEDG,Toronto,ESGY/F CN Equity,BMO ETFs/Canada,US,United States,Equity,ESG,1207.623,0.23,1.522,0.223,,11.939,,0.485,,0.679,
No,BMO SHORT-TERM US TIPS INDEX,Toronto,ZTIP/U CN Equity,BMO ETFs/Canada,Inflation Protected,United States,Fixed Income,N.A.,144.7,0.17,,-0.018,,2.76,,-1.003,,0.976,
Yes,IA CLARINGTON FLOATING RATE,Toronto,IFRF CN Equity,Industrial Alliance ETFs/Canada,Aggregate Bond,Global,Fixed Income,N.A.,484.866,0.7,,,,7,7.842,0.662,0.016,,
No,BMO SHORT-TERM US TIPS INDEX,Toronto,ZTIP/F CN Equity,BMO ETFs/Canada,Inflation Protected,United States,Fixed Income,N.A.,144.7,0.17,,0.019,,2.951,,-1.235,,0.98,
Yes,IA CLARINGTON LOOMIS GLOBAL,Toronto,IGAF CN Equity,Industrial Alliance ETFs/Canada,Global Allocation,Global,Mixed Allocation,N.A.,2969.912,0.85,1.184,,,16.723,8.223,0.51,0.027,,
No,ISHARES CORE GROWTH ETF PORT,Toronto,XGRO CN Equity,iShares ETFs/Canada,Aggressive Allocation,Global,Mixed Allocation,N.A.,1237.544,0.54,2.076,,,12.288,20.646,0.257,0.361,,
Yes,TD Q CANADIAN DIVIDEND ETF,Toronto,TQCD CN Equity,TD Asset Management ETFs/Canada,Broad Market,Canada,Equity,N.A.,129.603,0.39,5.117,,,9.064,48.838,-0.046,0.856,,
No,CI ENERGY GIANTS COV C ETF-U,Toronto,NXF/U CN Equity,CI Investments Inc/Canada,Energy,North American Region,Equity,N.A.,368.192,,4.844,0.725,,6.658,,0.361,,0.954,
Yes,CI TECH GIANTS COV CALL-U,Toronto,TXF/U CN Equity,CI Investments Inc/Canada,Technology,North American Region,Equity,N.A.,457.963,,1.151,,,50.337,,1.539,,,
Yes,HARVEST DIV MONTHLY INCOME,Toronto,HDIF CN Equity,Harvest Portfolios Group Inc/Canada,Broad Market,Canada,Equity,N.A.,236.842,0.15,3.369,-1.346,,4.249,,-0.491,,1.106,
No,ISHARES MSCI EMERGING MARKET,Toronto,XEM CN Equity,iShares ETFs/Canada,Emerging Markets,International,Equity,N.A.,158.727,0.79,2.534,-0.207,-0.106,12.038,-7.708,0.377,-0.353,1.047,0.99
No,AGF US MARKET NEUTRAL ANTI-B,Toronto,QBTL CN Equity,AGF Investments Inc ETFs/Canada,Not Classified,United States,Alternative,N.A.,282.394,0.55,2.296,0,-0.284,-1.68,-8.379,-0.101,-0.231,0.671,0.727
No,BMO SHORT-TERM US TIPS INDEX,Toronto,ZTIP CN Equity,BMO ETFs/Canada,Inflation Protected,United States,Fixed Income,N.A.,144.7,0.17,,0.01,,3.258,,-0.087,,0.989,
No,ISHARES CORE S&P 500 INDEX,Toronto,XUS/U CN Equity,iShares ETFs/Canada,US,United States,Equity,N.A.,3511.725,0.1,1.634,-0.022,-0.017,18.763,34.09,0.4,0.543,0.989,0.982
Yes,TD CANADIAN LONG TERM FEDERA,Toronto,TCLB CN Equity,TD Asset Management ETFs/Canada,Government,Canada,Fixed Income,N.A.,1261.512,0.23,,,,-0.302,-25.459,-0.835,-1.219,,
No,BMO MSCI EAFE HEDGED TO CAD,Toronto,ZDM CN Equity,BMO ETFs/Canada,International,International,Equity,N.A.,457.35,0.22,3.483,-0.017,-0.005,16.411,39.872,0.732,0.801,1.05,0.995
No,HORIZONS CDN SELECT UNIVERSE,Toronto,HBB CN Equity,Horizons ETFs Management Canada Inc,Aggregate Bond,Canada,Fixed Income,N.A.,2617.57,0.1,,-0.02,-0.022,2.425,-12.658,-0.853,-1.17,0.937,0.989
Yes,RBC QUANT US DIVIDEND LEADER,Toronto,RUD CN Equity,RBC Global Asset Management ETFs/Canada,US,United States,Equity,N.A.,331.929,0.44,2.464,,,13.765,48.664,0.395,0.928,,
Yes,RBC QUANT US DIVIDEND LEADER,Toronto,RUD/U CN Equity,RBC Global Asset Management ETFs/Canada,US,United States,Equity,N.A.,331.929,0.44,2.464,,,10.369,43.959,0.184,0.702,,
Yes,HAMILTON ENHANCED US COVER-U,Toronto,HYLD/U CN Equity,Hamilton Capital Partners ETFs/Canada,US,United States,Equity,N.A.,330.794,2.36,1.639,,,18.251,,0.416,,,
No,ISHARES CANADIAN SELECT,Toronto,XDV CN Equity,iShares ETFs/Canada,Broad Market,Canada,Equity,N.A.,1074.76,0.55,5.693,-0.041,-0.052,2.62,33.737,-0.519,0.515,0.996,1.004
Yes,HAMILTON ENHANCED US COVERED,Toronto,HYLD CN Equity,Hamilton Capital Partners ETFs/Canada,US,United States,Equity,N.A.,330.794,2.42,1.639,-0.16,,16.821,,0.363,,1.121,
No,ISHARES DIVERSIFIED MONTHLY,Toronto,XTR CN Equity,iShares ETFs/Canada,North American Region,North American Region,Equity,N.A.,294.075,0.61,2.639,0.245,0.236,2.544,12.339,-0.873,0.12,0.25,0.321
Yes,HORIZONS US LARGE CAP EQUITY,Toronto,USCC CN Equity,Horizons ETFs Management Canada Inc,US,United States,Equity,N.A.,142.12,0.84,1.585,0.233,0.314,13.956,39.982,0.742,0.892,0.611,0.742
No,ISHARES CORE MSCI EAFE IMI,Toronto,XEF/U CN Equity,iShares ETFs/Canada,International,International,Equity,N.A.,4651.068,0.21,3.455,0.009,0.009,20.654,16.329,0.574,0.248,1.055,0.989
Yes,MANULIFE SMART US DIV ETF,Toronto,UDIV CN Equity,Manulife ETFs/Canada/Fund Parent,US,United States,Equity,N.A.,155.108,0.33,,-1.486,,-0.902,,-0.816,,0.934,
Yes,HORIZONS SEASONAL ROTATION E,Toronto,HAC CN Equity,Horizons ETFs Management Canada Inc,Dynamic Allocation,North American Region,Mixed Allocation,N.A.,132.536,1.55,,,,10.73,39.555,0.061,0.833,,
Yes,PICTON MAHONEY FORTIFIED MAR,Toronto,PFMN CN Equity,Picton Mahoney Asset Management/Canada,N.A.,Canada,Alternative,N.A.,134.174,,1.713,0.372,0.477,4.842,21.786,-0.217,1.051,-0.082,0.068
No,RBC TARGET 2025 CORPORATE BO,Toronto,RQN CN Equity,RBC Global Asset Management ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,390.557,0.28,,,,5.264,-1.835,-0.395,-1.169,,
No,1MO COVERED CALL CANADIAN-U,Toronto,ZWB/U CN Equity,BMO ETFs/Canada,Financial,Canada,Equity,N.A.,2016.674,,5.513,-0.188,,-4.678,,-0.679,,0.834,
No,CI HIGH INTEREST SAVINGS ETF,Toronto,CSAV CN Equity,CI Investments Inc/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,6455.432,,,,,4.956,7.349,-1.775,-0.313,,
No,PURPOSE ETHER ETF,Toronto,ETHH/U CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,155.954,,,,,17.009,,0.434,,,
No,BMO LADDERED PREFERRED - U,Toronto,ZPR/U CN Equity,BMO ETFs/Canada,Preferred,Canada,Fixed Income,N.A.,1044.588,,,0.193,,-1.539,,-0.769,,1.032,
Yes,BMO BALANCED ETF - FPDU,Toronto,ZBAL/T CN Equity,BMO ETFs/Canada,Global Allocation,Global,Mixed Allocation,N.A.,123.343,,1.751,,,9.541,,0.031,,,
N.A.,BMO JAPAN INDEX ETF - H,Toronto,ZJPN/F CN Equity,BMO ETFs/Canada,Japan,Japan,Equity,N.A.,457.74,0.35,2.235,0.338,,30.985,,1.256,,0.802,
No,PURPOSE ETHER ETF,Toronto,ETHH/B CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,155.954,,,,,15.446,,0.481,,,
Yes,DYNAMIC ACTIVE CANADIAN DIVI,Toronto,DXC CN Equity,1832 Asset Management LP,Broad Market,Canada,Equity,N.A.,118.659,0.84,3.475,,,5.698,41.183,-0.402,0.807,,
N.A.,BMO JAPAN INDEX ETF,Toronto,ZJPN CN Equity,BMO ETFs/Canada,Japan,Japan,Equity,N.A.,457.74,,2.235,0.125,,23.745,,1.46,,1.049,
Yes,DYNAMIC ACTIVE GLOBAL DIVIDE,Toronto,DXG CN Equity,1832 Asset Management LP,Global,Global,Equity,N.A.,429.573,0.85,0.655,,,2.328,0.921,-0.822,-0.127,,
Yes,DYNAMIC ACTIVE PREFERRED SHA,Toronto,DXP CN Equity,1832 Asset Management LP,Preferred,Canada,Fixed Income,N.A.,378.19,0.58,9.412,0.786,0.874,2.041,22.137,-0.696,0.274,0.978,1.067
Yes,INVESCO ESG GLOBAL BOND ETF,Toronto,IWBE CN Equity,Invesco Canada ETFs/Canada,Aggregate Bond,Global,Fixed Income,ESG,109.514,,,0.092,,4.166,,-0.548,,0.918,
No,BMO S&P 500 HDGD TO CAD ETF,Toronto,ZUE CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,1357.03,0.09,1.639,-0.031,-0.028,17.446,29.984,0.312,0.457,0.989,1.002
Yes,BMO CAD HI DIV COV CALL ETF,Toronto,ZWC CN Equity,BMO ETFs/Canada,Large-cap,Canada,Equity,N.A.,1164.067,0.72,4.623,,,1.848,33.184,-0.613,0.569,,
No,PURPOSE ETHER ETF,Toronto,ETHH CN Equity,Purpose Investments Inc ETFs/Canada,Not Classified,Global,Alternative,N.A.,155.954,,,,,14.923,,0.388,,,
No,INVESCO FTSE RAFI CANADIAN I,Toronto,PXC CN Equity,Invesco Canada ETFs/Canada,Broad Market,Canada,Equity,N.A.,122.714,0.48,4.149,-0.03,-0.023,5.011,61.636,-0.332,0.994,0.99,1.005
Yes,BMO MONEY MARKET FUND ETF-UN,Toronto,ZMMK CN Equity,BMO ETFs/Canada,N.A.,Canada,Money Market,N.A.,864.423,,,,,4.789,,-1.648,,,
Yes,BMO CORE PLUS BOND FUND ETF,Toronto,ZCPB CN Equity,BMO ETFs/Canada,Aggregate Bond,Canada,Fixed Income,N.A.,875.912,0.56,,0.073,-0.066,3.434,-12.4,-0.655,-1.273,0.924,0.907
No,ISHARES 1-5 YEAR LADDERED CO,Toronto,CBO CN Equity,iShares ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,522.61,0.28,,-0.045,-0.019,5.008,-1.643,-0.607,-1.106,1.047,1.082
No,BMO NASDAQ 100 EQY INDEX-USD,Toronto,ZNQ/U CN Equity,BMO ETFs/Canada,US,United States,Equity,N.A.,322.171,0.4,0.871,0.02,,40.849,,1.129,,0.973,
No,INVESCO 1-3 YEAR LADDERED FL,Toronto,PFL CN Equity,Invesco Canada ETFs/Canada,Government,Canada,Fixed Income,N.A.,501.695,0.22,,-0.596,-0.012,4.995,6.48,-0.517,-0.673,2.433,1
No,MACKENZIE CANADIAN EQUITY IN,Toronto,QCN CN Equity,Mackenzie Investments ETFs/Canada,Broad Market,Canada,Equity,N.A.,882.859,0.05,3.43,0.003,0.006,6.728,37.247,-0.235,0.638,0.99,1.018
